품명,가격,카테고리,생산지,품종,당도,산도,바디,타닌
"폴 자불레 애네, 에르미타쥬 라 샤펠","350,000원",레드,프랑스,시라/쉬라즈 (Syrah/Shiraz) ,1,0,0,0
페퍼 브릿지 카버네 소비뇽,가격정보없음,레드,미국,카베르네 소비뇽 (Cabernet Sauvignon) ,1,0,0,0
"피터 마이클, 벨 꼬뜨 샤도네이","352,000원",화이트,미국,샤르도네 (Chardonnay) ,1,4,4,1
라 까리에레 샤도네,가격정보없음,화이트,미국,샤르도네 (Chardonnay) ,1,0,0,0
"포지오 디 소토, 브루넬로 디 몬탈치노",가격정보없음,레드,이탈리아,산지오베제 (Sangiovese) ,1,4,4,4
"포지오 디 소토, 로쏘 디 몬탈치노",가격정보없음,레드,이탈리아,산지오베제 (Sangiovese) ,1,3,3,4
"살트램, 에이쓰 메이커 쉬라즈",가격정보없음,레드,호주,시라/쉬라즈 (Syrah/Shiraz) ,1,3,4,4
"살트램, 메이커스 테이블 카버네 소비뇽",가격정보없음,레드,호주,카베르네 소비뇽 (Cabernet Sauvignon) ,1,3,5,4
"살트램, 메이커스 테이블 샤도네이",가격정보없음,화이트,호주,샤르도네 (Chardonnay) ,1,3,4,1
"살트램, 메이커스 테이블 소비뇽 블랑",가격정보없음,화이트,호주,소비뇽 블랑 (Sauvignon Blanc) ,1,4,3,1
"살트램, 맴레 브룩 카버네 소비뇽",가격정보없음,레드,호주,카베르네 소비뇽 (Cabernet Sauvignon) ,1,3,4,4
"살트램, 맴레 브룩 샤도네이",가격정보없음,화이트,호주,샤르도네 (Chardonnay) ,1,3,4,1
"살트램, 맴레 브룩 쉬라즈",가격정보없음,레드,호주,시라/쉬라즈 (Syrah/Shiraz) ,1,3,4,4
"살트램, 넥스트 챕터 샤도네",가격정보없음,화이트,호주,샤르도네 (Chardonnay) ,1,3,3,1
"살트램, 넘버 원 쉬라즈",가격정보없음,레드,호주,시라/쉬라즈 (Syrah/Shiraz) ,1,3,5,4
"슈램스버그, 블랑 드 블랑 375ml","48,000원",스파클링,미국,샤르도네 (Chardonnay) ,1,0,3,0
"슈램스버그, 블랑 드 블랑 매그넘 1500ml","160,000원",스파클링,미국,샤르도네 (Chardonnay) ,1,0,3,0
"쉐이퍼, 레드 숄더 렌치 샤도네","84,000원",화이트,미국,샤르도네 (Chardonnay) ,1,0,0,0
"쉐이퍼, 레드 숄더 렌치 샤도네이","165,000원",화이트,미국,샤르도네 (Chardonnay) ,1,3,4,1
"쉐이퍼, 힐사이드 셀렉트 카버네 소비뇽","860,000원",레드,미국,카베르네 소비뇽 (Cabernet Sauvignon) ,1,4,5,5
"쉐이퍼, 선스팟 빈야드 카버네 소비뇽",가격정보없음,레드,미국,카베르네 소비뇽 (Cabernet Sauvignon) ,1,4,5,5
"스태글린, 이스테이트 카버네 소비뇽",가격정보없음,레드,미국,카베르네 소비뇽 (Cabernet Sauvignon) ,1,3,4,4
"스택스 립 와인 셀라, CASK 23 까베르네 소비뇽","690,000원",레드,미국,카베르네 소비뇽 (Cabernet Sauvignon) ,1,3,5,4
"테누타 탈렌티, 로쏘 디 몬탈치노",가격정보없음,레드,이탈리아,산지오베제 (Sangiovese) ,1,4,3,3
"윌리엄 페브르, 샤블리","71,000원",화이트,프랑스,샤르도네 (Chardonnay) ,1,4,3,1
"윌리엄 페브르, 샤블리 프르미에 크뤼 푸르숌","131,000원",화이트,프랑스,샤르도네 (Chardonnay) ,1,5,4,1
"윌리엄 페브르, 샤블리 프르미에 크뤼 몽멩",가격정보없음,화이트,프랑스,샤르도네 (Chardonnay) ,1,0,3,0
"윌리엄 페브르, 샤블리 그랑 크뤼 레 끌로",가격정보없음,화이트,프랑스,샤르도네 (Chardonnay) ,1,0,4,0
"울프 블라스, 골드 라벨 까베르네 소비뇽",가격정보없음,레드,호주,카베르네 소비뇽 (Cabernet Sauvignon) ,1,3,4,4
"울프 블라스, 골드 라벨 샤도네이",가격정보없음,화이트,호주,샤르도네 (Chardonnay) ,1,3,4,1
"울프 블라스, 골드 라벨 리슬링",가격정보없음,화이트,호주,리슬링 (Riesling) ,1,4,4,1
"울프 블라스, 그레이 라벨 쉬라즈","93,000원",레드,호주,시라/쉬라즈 (Syrah/Shiraz) ,1,2,4,4
"울프 블라스, 플래티넘 라벨 쉬라즈","344,000원",레드,호주,시라/쉬라즈 (Syrah/Shiraz) ,1,2,4,4
"울프 블라스, 프레지던트 셀렉션 카버네 소비뇽",가격정보없음,레드,호주,카베르네 소비뇽 (Cabernet Sauvignon) ,1,3,4,4
"울프 블라스, 프레지던트 셀렉션 쉬라즈",가격정보없음,레드,호주,시라/쉬라즈 (Syrah/Shiraz) ,1,4,4,4
"울프 블라스, 레드 라벨 샤르도네","19,000원",화이트,호주,샤르도네 (Chardonnay) ,1,3,2,1
"울프 블라스, 옐로우 라벨 까베르네 소비뇽","29,000원",레드,호주,카베르네 소비뇽 (Cabernet Sauvignon) ,1,2,4,4
"울프 블라스, 옐로우 라벨 샤르도네","29,000원",화이트,호주,샤르도네 (Chardonnay) ,1,3,2,1
"울프 블라스, 빌야라 샤르도네",가격정보없음,화이트,호주,샤르도네 (Chardonnay) ,1,4,2,1
