,품종,당도,산도,바디,타닌
415,몬테풀치아노 (Montepulciano) ,1,3,3,3
416,몬테풀치아노 (Montepulciano) ,1,4,5,4
417,몬테풀치아노 (Montepulciano) ,1,5,2,2
418,산지오베제 (Sangiovese) ,1,4,3,3
419,몬테풀치아노 (Montepulciano) ,1,3,4,3
420,모스카토  (Moscato ) ,4,2,2,1
421,모스카토  (Moscato ) ,4,2,2,1
422,모스카토  (Moscato ) ,4,2,2,1
423,모스카토  (Moscato ) ,4,2,2,1
424,가르가네가 (Garganega) ,1,4,2,1
425,소비뇽 블랑 (Sauvignon Blanc) ,1,4,3,1
426,바르베라 (Barbera) ,1,4,3,3
427,돌체토 (Dolcetto) ,1,3,4,2
428,네비올로 (Nebbiolo) ,1,4,3,4
429,네비올로 (Nebbiolo) ,1,4,3,4
430,말벡 (Malbec) ,1,0,0,0
431,말벡 (Malbec) ,1,0,4,0
432,보나르다 (Bonarda) ,1,0,3,0
433,시라/쉬라즈 (Syrah/Shiraz) ,1,4,5,5
434,시라/쉬라즈 (Syrah/Shiraz) ,1,3,4,4
435,샤르도네 (Chardonnay) ,1,3,3,1
436,시라/쉬라즈 (Syrah/Shiraz) ,1,3,3,3
437,말벡 (Malbec) ,1,3,5,5
438,베르나키아 (Vernaccia) ,1,3,2,1
439,산지오베제 (Sangiovese) ,1,4,3,3
440,시라/쉬라즈 (Syrah/Shiraz) ,1,4,3,3
441,카베르네 소비뇽 (Cabernet Sauvignon) ,1,3,3,3
442,샤르도네 (Chardonnay) ,1,3,2,1
443,메를로 (Merlot) ,1,3,3,3
444,카르메네르 (Carmenere) ,1,3,3,3
445,산지오베제 (Sangiovese) ,1,4,3,3
446,산지오베제 (Sangiovese) ,1,3,4,4
447,산지오베제 그로쏘  (Sangiovese Grosso) ,1,3,4,5
448,산지오베제 (Sangiovese) ,1,4,4,3
449,산지오베제 (Sangiovese) ,1,4,4,3
450,산지오베제 (Sangiovese) ,1,4,3,2
451,프루놀로 젠타일 (Prugnolo Gentile) ,1,3,4,4
452,시라/쉬라즈 (Syrah/Shiraz) ,1,4,4,3
453,시라/쉬라즈 (Syrah/Shiraz) ,1,4,5,3
454,네비올로 (Nebbiolo) ,1,4,3,5
455,네비올로 (Nebbiolo) ,1,0,4,0
456,돌체토 (Dolcetto) ,1,0,0,0
457,네비올로 (Nebbiolo) ,1,0,4,0
458,네비올로 (Nebbiolo) ,1,4,4,4
459,돌체토 (Dolcetto) ,1,4,3,3
460,바르베라 (Barbera) ,1,4,3,2
461,모스카토  (Moscato ) ,4,2,2,1
462,모스카토  (Moscato ) ,4,2,2,1
463,산지오베제 (Sangiovese) ,1,4,4,3
464,리슬링 (Riesling) ,5,1,3,1
465,피노 누아 (Pinot Noir) ,1,5,4,3
